thres, size, keycomp, time
0,   1000000, 18674267,   150729790
1,   1000000, 18674267,   126603640
2,   1000000, 18674267,   114541390
3,   1000000, 18674176,   112112720
4,   1000000, 18727432,   107693490
5,   1000000, 18727432,   107164150
6,   1000000, 18727432,   107268760
7,   1000000, 18821197,   106103240
8,   1000000, 19072911,   102424230
9,   1000000, 19072911,   104497250
10,  1000000, 19072911,   102151190
11,  1000000, 19072911,   102184970
12,  1000000, 19072911,   101739390
13,  1000000, 19072911,   103875410
14,  1000000, 19072911,   106819040
15,  1000000, 19887868,   105015310
16,  1000000, 20223708,   104372010
17,  1000000, 20223708,   101573760
18,  1000000, 20223708,   99796750
19,  1000000, 20223708,   104464960
20,  1000000, 20223708,   102037580
21,  1000000, 20223708,   100547060
22,  1000000, 20223708,   105647040
23,  1000000, 20223708,   100706480
24,  1000000, 20223708,   108504410
25,  1000000, 20223708,   109297510
26,  1000000, 20223708,   114471580
27,  1000000, 20223708,   105629690
28,  1000000, 20223708,   114850830
29,  1000000, 20223708,   100341110
30,  1000000, 21598693,   97155670
31,  1000000, 23185490,   101362710
32,  1000000, 23185490,   98848050
33,  1000000, 23185490,   97784880
34,  1000000, 23185490,   103545340
35,  1000000, 23185490,   100259680
36,  1000000, 23185490,   99087280
37,  1000000, 23185490,   98631450
38,  1000000, 23185490,   100435690
39,  1000000, 23185490,   99340160
40,  1000000, 23185490,   102075240
41,  1000000, 23185490,   102428280
42,  1000000, 23185490,   96429570
43,  1000000, 23185490,   96578560
44,  1000000, 23185490,   99749050
45,  1000000, 23185490,   100160000
46,  1000000, 23185490,   95782850
47,  1000000, 23185490,   95452830
48,  1000000, 23185490,   97975730
49,  1000000, 23185490,   95276130
50,  1000000, 23185490,   98433770
51,  1000000, 23185490,   100377070
52,  1000000, 23185490,   100268940
53,  1000000, 23185490,   96184730
54,  1000000, 23185490,   98413980
55,  1000000, 23185490,   97508290
56,  1000000, 23185490,   100126300
57,  1000000, 23185490,   97697760
58,  1000000, 23185490,   103568900
59,  1000000, 23185490,   97322740
60,  1000000, 23185490,   97421930
61,  1000000, 29658046,   103288630
62,  1000000, 29902384,   101881060
63,  1000000, 29902384,   101134170
64,  1000000, 29902384,   101552470
65,  1000000, 29902384,   101089060
66,  1000000, 29902384,   101782160
67,  1000000, 29902384,   99592250
68,  1000000, 29902384,   101253030
69,  1000000, 29902384,   100356480
70,  1000000, 29902384,   99072930
71,  1000000, 29902384,   100250570
72,  1000000, 29902384,   101867370
73,  1000000, 29902384,   108473330
74,  1000000, 29902384,   98835870
75,  1000000, 29902384,   99558920
76,  1000000, 29902384,   99949650
77,  1000000, 29902384,   99308820
78,  1000000, 29902384,   101025420
79,  1000000, 29902384,   98621390
80,  1000000, 29902384,   99480010
81,  1000000, 29902384,   100828850
82,  1000000, 29902384,   99616580
83,  1000000, 29902384,   106008380
84,  1000000, 29902384,   103717550
85,  1000000, 29902384,   106985320
86,  1000000, 29902384,   97469420
87,  1000000, 29902384,   105273000
88,  1000000, 29902384,   106563020
89,  1000000, 29902384,   109090160
90,  1000000, 29902384,   102706620
91,  1000000, 29902384,   99424020
92,  1000000, 29902384,   101442550
93,  1000000, 29902384,   101306020
94,  1000000, 29902384,   100661180
95,  1000000, 29902384,   103942200
96,  1000000, 29902384,   98177550
97,  1000000, 29902384,   100165650
98,  1000000, 29902384,   97819220
99,  1000000, 29902384,   100396530
100, 1000000, 29902384,   99217770
